"timeindex","Year","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
13,2007,0.417503754023055,3945.54737922706,0.494777670408577,2.63575521372027,15.1895659648715,2.39518804409308,2.28664465511668,0.417048901338521
14,2008,0.324126279545975,4047.27318689124,0.743029772882895,2.87078075700018,-11.2371380286481,3.08521728445088,1.9049564296175,0.293283292961478
15,2009,0.0942849630531845,3816.34840778441,1.14511407887592,3.96529170147226,-4.18716740405613,10.6061451117706,1.26594883504829,0.0925616812822439
16,2010,0.283809304376765,2513.94460657626,0.287707512224979,1.58537818405953,-1.41448870560177,3.52349265714161,1.86675220302664,0.281412703200263
17,2011,0.279384766830812,2531.14471794691,0.164486841868625,1.50831499771673,-1.5099482067324,3.57929321395526,1.84842476028837,0.275732728010242
18,2012,0.432171372998148,2489.28860665446,0.186471401150948,1.57243340423355,-1.44531425024168,2.31389689942347,2.27387598424886,0.41266151738502
19,2013,0.487626971444312,2759.2058737215,0.26204864385797,1.91889530271258,-2.66386918172486,2.05074792528002,2.08564620846812,0.350342658468216
20,2014,-0.0343755422245028,3132.34249551797,0.0592491189440151,2.08008450221531,-2.42195554272888,-29.0904502238572,0.931947034057907,-0.0255914764279969
21,2015,0.119172717456095,3267.29263171964,0.081824566410176,1.95197572555796,-2.31920972157335,8.39118232214866,1.29822305045431,0.103193589014201
22,2016,-0.12250075188374,3875.05840228072,0.135666443505614,2.41767140476183,-6.87300445718434,-8.16321520172429,0.784610160285701,-0.0848601155454401
23,2017,-0.242728833427567,3947.06046694739,0.374446616872953,2.38189357033455,-4.15420827695346,-4.11982369741176,0.485642585675139,-0.231115083601744
24,2018,-0.431967760805396,5539.15828409527,0.974877805351666,3.36224680380026,284.969055130651,-2.31498757716437,0.481553423049096,-0.233484744205895
25,2019,-0.277094874297376,5496.33528346796,1.13445874131972,3.66907875024336,-23.4927661889682,-3.60887224108955,0.410936483354357,-0.276762290480412
26,2020,-0.292248910081092,6699.8695461395,0.916097408546775,2.57070511939265,8.89972286148596,-3.42174073368666,0.534944501316706,-0.203549797987906
