"timeindex","year","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
24,1992,0.287825193401205,2.71872917725249,0.276221828481497,2.97327308914751,6.17561527610811,3.47433102774322,2.38831386095293,0.259757213124617
25,1993,0.189803641677959,2.31232579894343,0.254045971144347,2.23089493443253,3.17410102734261,5.26860281056518,1.90892606935092,0.189792825061819
26,1994,0.204341001689693,2.36759578039859,0.176426996927296,2.25587348924677,3.41603924581061,4.8937804539031,1.84968588428731,0.180148939747751
27,1995,0.201095819661298,2.3725412432223,0.206907224478871,2.2459808318097,3.55428597362688,4.97275379311355,1.97503990555154,0.200260427617636
28,1996,0.233552226431983,2.55438798466239,0.011318165375972,2.34059387330809,4.66373231621282,4.28169756836476,1.94313910590885,0.195247309674388
29,1997,0.254675703353112,2.58083188258299,0.0548595763718124,2.25856859286076,5.38267929888917,3.92656223908994,2.31349445673328,0.24965253310428
30,1998,0.268135594488161,2.60090873555828,0.112531211559143,2.20303957036327,6.17835440652558,3.72945636668971,2.42128315024143,0.264128349747443
31,1999,0.255503812826895,2.60609636292418,0.0982988677163146,2.18448622304562,5.99850751244757,3.91383591867376,2.34153992678754,0.25347098669395
32,2000,0.260290552931635,2.60994755442163,0.0480306672853478,2.16694940037758,5.46138291551721,3.84186052369963,2.38583553404949,0.259426658844573
33,2001,0.260926614204335,2.6095962589457,0.108001221748521,2.17444750664711,6.12858561745994,3.83249521345065,2.39285478244369,0.260362150561354
34,2002,0.281094865427391,2.60459850871381,0.0883940392860104,2.18772968824734,5.86213822935603,3.55751784537063,2.54970156905366,0.280710099797562
35,2003,0.37778880486113,2.54618907752338,0.247169297264194,2.35532562456343,10.561380131659,2.64698155988922,3.34491910608819,0.371076158962817
36,2004,0.451733429612726,2.53086211925143,0.260479192120547,2.36859817489226,10.0068389369621,2.21369492370159,3.8830783373883,0.423836085631704
37,2005,0.429953848345421,2.53307553536863,0.336308418526333,2.39220791187855,13.5209186076374,2.32583102546534,3.92685524970228,0.427917954224647
38,2006,0.398437981005219,2.48209771981505,0.379540613533364,2.5664837601735,19.5624351262641,2.50980089166474,3.56679885696018,0.393458526758292
39,2007,0.455934923603578,2.46913665488727,0.38991000438759,2.61398764812357,21.9848456915341,2.19329546439717,4.09839558908443,0.443660558215856
40,2008,0.372141850234553,2.547259441823,0.344954672410234,2.4902431548837,66.0657895422005,2.68714738578776,3.08424685413436,0.343413055216329
41,2009,0.392317904106011,2.51720962781152,0.349890379316024,2.55214909585973,35.2769674017433,2.54895325840083,3.46333981217119,0.383143276390628
42,2010,0.395747167292229,2.51930072874045,0.35734559337533,2.54819234865281,39.4026516460822,2.52686584427672,3.57388969558685,0.394158166707985
43,2011,0.418114158741873,2.59966664290586,0.42240404652126,2.43126994196983,-29.2767223200736,2.39169130987827,3.56356867403135,0.393139505750759
44,2012,0.414615794721516,2.60092708798941,0.269366298039192,2.34112586383748,36.8537373123523,2.41187145480472,3.68982966314422,0.405471195757473
45,2013,0.288772587453287,2.44917345135917,0.332250228399157,2.68254472610116,-23.4008455054837,3.46293257548819,2.61396669314284,0.288759072264425
46,2014,0.210627570252677,2.21719092156832,0.0390876735912405,2.44201235407879,-9.22535530639352,4.74771654442179,1.98035156874333,0.201088487890428
47,2015,0.0106530179180375,2.15597999917431,0.176302206614656,2.58639996187773,-4.66445645658956,93.8701133982718,1.03704108584265,0.0102649289692625
