"timeindex","WaterYear","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1"
22,1997,0.597822431369053,0.127645897802828,0.904433146997847,3.08615944670986,4.66150633806649,1.67273750118398,5.2747882194507,0.594312803524853
23,1998,0.618628669212375,0.192549687157459,2.03862184968259,7.52463264116613,2.89020239547735,1.61647859171024,2.36465892078647,0.26748529669725
24,1999,0.501133853337607,0.200674864862401,1.68153354682735,5.88944161276142,2.31574456012159,1.99547484836614,3.89725401637932,0.452500004080948
25,2000,0.438792082581194,0.19621913780253,1.72165772026028,6.11036536246729,2.07831796030553,2.27898369113112,3.76540169110121,0.438384892807278
26,2001,0.438420220452854,0.197797230558908,1.69711876267357,6.00991285006266,2.14428128297336,2.28091669441496,3.6405592944144,0.424823170698217
27,2002,0.43348465029382,0.19839213947617,1.69463390689278,5.98063194453817,2.17732635282866,2.30688675901717,3.6599644769978,0.426944866352987
28,2003,0.433771473722619,0.198440766151006,1.69364045157687,5.97743734010108,2.17920765825061,2.30536137247113,3.59351144591783,0.41965691444722
29,2004,0.435901881920472,0.200391700988961,1.65196460984572,5.85128485099932,2.25430736058302,2.29409424798593,3.56435036046961,0.416438474952041
30,2005,0.448082997526739,0.201090148924966,1.63453572498144,5.80703647905885,2.27943637794598,2.23172940173952,3.64895115994808,0.425741352406043
31,2006,0.446240544618131,0.202435073901256,1.60766580464659,5.72337345378428,2.33466564761873,2.24094384085101,3.67008197584102,0.428049012149322
32,2007,0.493924542550913,0.202611409730878,1.60317352866568,5.71264442290957,2.34109246819611,2.02460075143345,4.0475303243002,0.468364945482975
33,2008,0.525209762524007,0.208798580199612,1.53872748536463,5.43017468003691,2.72199095810003,1.90400116554248,4.31072574648427,0.495704481462228
34,2009,0.551381893035718,0.214636801610609,1.51126686760178,5.23417274102342,3.26718802891488,1.81362502583164,4.5781627513737,0.523097775223381
35,2010,0.563843615476007,0.219966452061204,1.51949675399029,5.13565307388691,4.12344725944684,1.77354140856199,4.7164427290787,0.537183852305746
36,2011,0.537300247685276,0.218306120661548,1.73657767533193,5.87213981884485,6.50279523073635,1.86115678209356,4.52728656404094,0.517906055010956
37,2012,0.565022602899977,0.210492460767792,2.08376276156692,7.41569383166894,17.4171524999796,1.76984070171264,4.85359384141813,0.551144445960809
38,2013,0.586225616749811,0.210925381568601,2.22160020505511,7.86007697334845,4949.21972814387,1.7058278782566,5.087382647072,0.575012790175691
39,2014,0.594615311107149,0.213018563356166,2.22285740640624,7.79765951988866,-38.7104150116998,1.68175958694713,5.16819265973573,0.583310100875356
40,2015,0.603683770925028,0.215190442818926,2.22888366339136,7.75053094813754,-18.5616744718413,1.65649641113872,5.25303293742157,0.592061095529211
41,2016,0.641140791309699,0.2128775037319,2.48280964046613,8.96579718551061,-6.72899793344088,1.55971982059859,5.4976733366626,0.617614499801446
42,2017,0.6459272320468,0.215307201267829,2.52602996444406,9.07930309134199,-5.10004309557217,1.54816200709052,5.60810541900608,0.629357727599266
43,2018,0.655899852505813,0.219346867944635,2.53294164437386,9.11806682077767,-3.89751563286861,1.52462299873918,5.59557971194513,0.628017824991182
