"Xyear","totbird","year"
"X1969",8,1969
"X1970",9,1970
"X1971",12,1971
"X1972",7,1972
"X1973",6,1973
"X1974",10,1974
"X1975",8,1975
"X1976",8,1976
"X1977",7,1977
"X1978",7.5,1978
"X1979",9,1979
"X1980",10,1980
"X1981",9,1981
"X1982",8.5,1982
"X1983",11,1983
"X1984",7,1984
"X1985",15,1985
"X1986",8.5,1986
"X1987",12,1987
"X1988",17,1988
"X1989",15.5,1989
"X1990",17.5,1990
"X1991",13.5,1991
"X1992",18,1992
"X1993",17.5,1993
"X1994",13.5,1994
"X1995",14,1995
"X1996",16,1996
"X1997",8.5,1997
"X1998",11,1998
"X1999",12.5,1999
"X2000",15.5,2000
"X2001",13.5,2001
"X2002",16,2002
"X2003",13,2003
"X2004",13.5,2004
"X2005",13,2005
"X2006",17.5,2006
"X2007",16,2007
"X2008",15.5,2008
"X2009",24.5,2009
"X2010",20.5,2010
"X2011",18.5,2011
"X2012",16.5,2012
"X2013",17.5,2013
"X2014",18.5,2014
"X2015",17,2015
