"Xyear","totbird","year"
"X1969",20,1969
"X1970",24,1970
"X1971",29,1971
"X1972",22,1972
"X1973",26,1973
"X1974",23,1974
"X1975",31,1975
"X1976",30,1976
"X1977",23.5,1977
"X1978",20,1978
"X1979",16,1979
"X1980",13,1980
"X1981",26,1981
"X1982",23,1982
"X1983",22,1983
"X1984",20.5,1984
"X1985",21.5,1985
"X1986",22,1986
"X1987",19.5,1987
"X1988",22,1988
"X1989",22.5,1989
"X1990",24,1990
"X1991",25.5,1991
"X1992",15,1992
"X1993",16.5,1993
"X1994",18.5,1994
"X1995",18,1995
"X1996",19,1996
"X1997",22,1997
"X1998",17,1998
"X1999",23.5,1999
"X2000",28,2000
"X2001",29,2001
"X2002",19,2002
"X2003",21,2003
"X2004",21,2004
"X2005",24.5,2005
"X2006",22,2006
"X2007",19,2007
"X2008",19.5,2008
"X2009",27,2009
"X2010",23.5,2010
"X2011",22,2011
"X2012",24,2012
"X2013",28,2013
"X2014",31,2014
"X2015",30,2015
