"Year","biomass"
1986,2.372796459
1987,5.4333314655
1988,8.967401785
1989,10.4796431125
1990,3.847043878
1991,12.49379372
1992,8.535062363
1993,0.96876303
1994,1.353568412
1995,6.140985236
1996,0.2177674035
1997,3.118135266
1998,2.535571376
1999,13.15003188
2000,7.5910727925
2001,0
2002,1.746063329
2003,16.25522437
2004,29.894851575
2005,7.746732655
2006,1.5713358155
2007,8.967522076
2008,4.768574836
2009,1.2405474655
2010,1.777337708
2011,0.081798392
2012,9.841247336
2013,6.1838906445
2014,6.9168390505
2015,0.8427792165
2016,0
2017,0
2018,0.5671244625
