"Year","BIOC","BION"
1994,13908.2375,919.1075
1995,14575.14,548.495
1996,18360.845,1543.1125
1998,7287.33,1357.908
1999,9607.228,1266.594
2000,3687.27,882.876
2001,4892.472,927.766
2002,4101.68,1022.138
2003,3972.216,847.874
2004,9190.418,1045.472
2005,8666.2,668.228
2006,10886.488,1193.554
2007,9542.856,1515.258
2008,4594.944,1966.098
2009,7127.984,1248.348
2010,7889.982,972.898
2011,10521.61,1016.602
2012,12110.096,924.486
2013,16903.9,825.446
2014,7003.914,1094.206
2015,9170.972,917.088
2016,22552.258,913.792
2017,12676.616,696.288
2018,30563.238,1068.412
2019,17527.668,1088.75
2020,32801.16,1223.55333333333
